city_fips,city_name,st,cty_fips,rucc,cz,pop_2010
4254888,North Charleroi,Pennsylvania,42125,1,203,1313
4254952,North East,Pennsylvania,42049,2,215,4294
4255136,North Irwin,Pennsylvania,42129,1,203,846
4255512,North Wales,Pennsylvania,42091,1,316,3229
4255608,North York,Pennsylvania,42133,2,251,1914
4254696,Northampton,Pennsylvania,42095,2,231,9926
4255456,Northumberland,Pennsylvania,42097,4,113,3804
4255664,Norwood,Pennsylvania,42045,1,316,5890
4255840,Oakdale,Pennsylvania,42003,1,203,1459
4256088,Oakmont,Pennsylvania,42003,1,203,6303
4256456,Oil City,Pennsylvania,42121,4,215,10557
4256792,Olyphant,Pennsylvania,42069,2,309,5151
4257184,Orwigsburg,Pennsylvania,42107,4,231,3099
4257232,Osceola Mills,Pennsylvania,42027,3,565,1141
4257480,Oxford,Pennsylvania,42029,1,316,5077
4257544,Paint,Pennsylvania,42111,4,420,1023
4257696,Palmerton,Pennsylvania,42025,2,231,5414
4257720,Palmyra,Pennsylvania,42075,3,251,7320
4257752,Palo Alto,Pennsylvania,42107,4,231,1032
4257976,Parker,Pennsylvania,42005,1,203,840
4258032,Parkesburg,Pennsylvania,42029,1,316,3593
4258176,Parkside,Pennsylvania,42045,1,316,2328
4258432,Patton,Pennsylvania,42021,3,420,1769
4258504,Paxtang,Pennsylvania,42043,2,251,1561
4258696,Pen Argyl,Pennsylvania,42095,2,231,3595
4258712,Penbrook,Pennsylvania,42043,2,251,3008
4259120,Pennsburg,Pennsylvania,42091,1,316,3843
4259384,Perkasie,Pennsylvania,42017,1,316,8511
4260120,Phoenixville,Pennsylvania,42029,1,316,16440
4260712,Pitcairn,Pennsylvania,42003,1,203,3294
4261048,Pittston,Pennsylvania,42079,2,309,7739
4261648,Plymouth,Pennsylvania,42079,2,309,5951
4261864,Point Marion,Pennsylvania,42051,1,203,1159
4261936,Polk,Pennsylvania,42121,4,215,816
4262088,Port Allegany,Pennsylvania,42083,7,524,2157
4262128,Port Carbon,Pennsylvania,42107,4,231,1889
4262320,Port Vue,Pennsylvania,42003,1,203,3798
4262048,Portage,Pennsylvania,42021,3,420,2638
4262416,Pottstown,Pennsylvania,42091,1,316,22377
4262432,Pottsville,Pennsylvania,42107,4,231,14324
4262712,Pringle,Pennsylvania,42079,2,309,979
4262792,Prospect Park,Pennsylvania,42045,1,316,6454
4262920,Punxsutawney,Pennsylvania,42065,7,332,5962
4263048,Quakertown,Pennsylvania,42017,1,316,8979
4263064,Quarryville,Pennsylvania,42071,2,251,2576
4263408,Rankin,Pennsylvania,42003,1,203,2122
4263624,Reading,Pennsylvania,42011,2,231,88082
4264200,Renovo,Pennsylvania,42035,4,358,1228
4264376,Reynoldsville,Pennsylvania,42065,7,332,2759
4264784,Ridgway,Pennsylvania,42047,7,524,4078
4264832,Ridley Park,Pennsylvania,42045,1,316,7002
4264904,Rimersburg,Pennsylvania,42031,6,215,951
4265256,Roaring Spring,Pennsylvania,42013,3,420,2585
4265336,Robesonia,Pennsylvania,42011,2,231,2061
4265392,Rochester,Pennsylvania,42007,1,203,3657
4265568,Rockledge,Pennsylvania,42091,1,316,2543
4265736,Rockwood,Pennsylvania,42111,4,420,890
4266016,Roscoe,Pennsylvania,42125,1,203,812
4266168,Roseto,Pennsylvania,42095,2,231,1567
4266560,Royalton,Pennsylvania,42043,2,251,907
4266576,Royersford,Pennsylvania,42091,1,316,4752
4267648,Saltsburg,Pennsylvania,42063,4,420,873
